full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
shareAI-lab/learn-claude-code,62783,62783,10262,34,34,6,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,9267,9267,14652,0,0,-1,https://github.com/ChinaSiro/claude-code-sourcemap
pengchengneo/Claude-Code,1414,1414,2382,2,2,2,https://github.com/pengchengneo/Claude-Code
Alishahryar1/free-claude-code,29909,29909,4502,47,47,9,https://github.com/Alishahryar1/free-claude-code
hesreallyhim/awesome-claude-code,44862,44862,3870,14,14,5,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,54980,54980,5514,21,21,2,https://github.com/shanraisshan/claude-code-best-practice
musistudio/claude-code-router,34409,34409,2810,0,0,1,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,27585,27585,2835,3,3,2,https://github.com/davila7/claude-code-templates
LING71671/Open-ClaudeCode,864,864,1198,1,1,0,https://github.com/LING71671/Open-ClaudeCode
Donchitos/Claude-Code-Game-Studios,20048,20048,2916,22,22,4,https://github.com/Donchitos/Claude-Code-Game-Studios
oboard/claude-code-rev,3154,3154,3806,0,0,2,https://github.com/oboard/claude-code-rev
VoltAgent/awesome-claude-code-subagents,20576,20576,2400,6,6,2,https://github.com/VoltAgent/awesome-claude-code-subagents
ponponon/claude_code_src,2251,2251,3507,1,1,0,https://github.com/ponponon/claude_code_src
anthropics/claude-code-action,7742,7742,1866,2,2,0,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,10511,10511,1845,4,4,1,https://github.com/Piebald-AI/claude-code-system-prompts
liuup/claude-code-analysis,2751,2751,1701,0,0,2,https://github.com/liuup/claude-code-analysis
diet103/claude-code-infrastructure-showcase,9666,9666,1223,0,0,0,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,9203,9203,702,0,0,0,https://github.com/frankbria/ralph-claude-code
ykdojo/claude-code-tips,8484,8484,639,8,8,0,https://github.com/ykdojo/claude-code-tips
pedrohcgs/claude-code-my-workflow,1155,1155,2379,1,1,2,https://github.com/pedrohcgs/claude-code-my-workflow
hangsman/claude-code-source,781,781,1749,0,0,0,https://github.com/hangsman/claude-code-source
chauncygu/collection-claude-code-source-code,2513,2513,2331,0,0,0,https://github.com/chauncygu/collection-claude-code-source-code
lintsinghua/claude-code-book,3414,3414,733,3,3,0,https://github.com/lintsinghua/claude-code-book
ChrisWiles/claude-code-showcase,5922,5922,560,0,0,0,https://github.com/ChrisWiles/claude-code-showcase
affaan-m/ECC,193853,193853,29924,313,313,38,https://github.com/affaan-m/ECC
huangserva/claude-code-cli,588,588,1305,0,0,0,https://github.com/huangserva/claude-code-cli
OneRedOak/claude-code-workflows,3807,3807,560,0,0,0,https://github.com/OneRedOak/claude-code-workflows
wanshuiyin/Auto-claude-code-research-in-sleep,10730,10730,1013,21,21,0,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
1rgs/claude-code-proxy,3608,3608,469,1,1,0,https://github.com/1rgs/claude-code-proxy
lorryjovens-hub/claude-code-rust,1614,1614,631,1,1,0,https://github.com/lorryjovens-hub/claude-code-rust
nicedreamzapp/claude-code-local,2688,2688,515,1,1,0,https://github.com/nicedreamzapp/claude-code-local
FlorianBruniaux/claude-code-ultimate-guide,4499,4499,598,2,2,0,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
zebbern/claude-code-guide,4168,4168,407,0,0,0,https://github.com/zebbern/claude-code-guide
777genius/claude-code-source-code,912,912,1109,0,0,0,https://github.com/777genius/claude-code-source-code
disler/claude-code-hooks-mastery,3711,3711,615,-1,-1,0,https://github.com/disler/claude-code-hooks-mastery
zstmfhy/Claude-code,190,190,284,0,0,0,https://github.com/zstmfhy/Claude-code
Maciek-roboblog/Claude-Code-Usage-Monitor,8070,8070,411,2,2,-1,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
anthropics/claude-code-security-review,4838,4838,479,4,4,0,https://github.com/anthropics/claude-code-security-review
kodu-ai/claude-coder,5273,5273,199,0,0,0,https://github.com/kodu-ai/claude-coder
Yuyz0112/claude-code-reverse,2371,2371,407,0,0,0,https://github.com/Yuyz0112/claude-code-reverse
Windy3f3f3f3f/how-claude-code-works,2479,2479,587,2,2,1,https://github.com/Windy3f3f3f3f/how-claude-code-works
